id,area,feature,user_story,expected_behaviour,code_evidence,status,automated_test_status,browser_test,initial_behaviour_status,post_fix_behaviour_status,test_result,errors,fix,last_tested_at
US-011,Capture,Recent captures,As an analyst I view recent captures,GET /captures/recent returns latest captures across cases,extension/src/serviceWorker.ts; extension/src/popup.ts,passed,passed,workflows/captures.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/captures.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-012,Capture,Captures count,As an analyst I see how many captures a case has,GET /cases/:id/captures/count returns count,extension/src/serviceWorker.ts; extension/src/popup.ts,passed,passed,workflows/captures.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/captures.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-013,Evidence Import,Unified import,As an analyst I import any artifact with one button,POST /cases/:id/import sniffs file via importDetect and dispatches to the matching importer; unknown falls back to csv/log,public/js/dashboard-unified-export.js,passed,passed,workflows/analystJourney.spec.ts workflows/importers.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/importers.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-014,Evidence Import,Import CSV,As an analyst I import a CSV timeline,"POST /cases/:id/import-csv parses CSV, AI triage, events into timeline",companion/src/routes/caseLifecycle.ts:92,passed,passed,workflows/import.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/import.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-015,Evidence Import,Import log,As an analyst I import a generic log,POST /cases/:id/import-log aggregates repetitive lines then AI triages suspicious ones,companion/src/routes/caseLifecycle.ts:92,passed,passed,workflows/importers.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/importers.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-016,Evidence Import,Import THOR,As an analyst I import a THOR Nextron JSON report,"Direct THOR JSON and THOR results embedded in a multi-source Velociraptor hunt are detected, mapped to meaningful titles/severity, and promoted into the forensic timeline without losing sibling sources.",companion/src/analysis/thorImport.ts; companion/src/analysis/velociraptorImport.ts; companion/src/routes/caseLifecycle.ts,passed,passed,workflows/importers.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/importers.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-017,Evidence Import,Import SIEM/EDR,As an analyst I import SIEM/EDR Windows/Sysmon JSON,"POST /cases/:id/import-siem unwraps container, per-EID mapping, aggregate",companion/src/analysis/siemImport.ts,passed,passed,workflows/importFormats.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/importFormats.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",The initial concurrent companion run missed the SIEM/EDR import timing ratio. The exact test passed in isolation and the final sequential suite passed.,,2026-08-20T18:02:57.728Z
US-018,Evidence Import,Import Chainsaw,As an analyst I import Chainsaw hunt JSON or evtx_dump,POST /cases/:id/import-chainsaw reuses mapWindows + overlays Sigma level/MITRE,companion/src/analysis/evtxXmlImport.ts,passed,passed,workflows/importFormats.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/importFormats.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-019,Evidence Import,Import Hayabusa,As an analyst I import Hayabusa json/csv timeline,"POST /cases/:id/import-hayabusa verdict-first: Level->severity, RuleTitle->desc, tags->MITRE",companion/src/analysis/hayabusaImport.ts,passed,passed,workflows/importFormats.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/importFormats.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-020,Evidence Import,Import Velociraptor,As an analyst I import Velociraptor native JSON,"Velociraptor native JSON and streamed hunt results are classified per source, decoded where needed, given evidence-specific titles, and routed to the forensic or super-timeline without one source hiding another.",companion/src/analysis/velociraptorImport.ts; companion/src/analysis/velociraptorTitle.ts; companion/src/routes/velociraptor.ts,passed,passed,workflows/importFormats.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/importFormats.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-021,Evidence Import,Import Network,As an analyst I import Suricata/Zeek logs,POST /cases/:id/import-network timeline from detections only; telemetry contributes IOCs,companion/src/analysis/networkImport.ts,passed,passed,workflows/importFormats.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/importFormats.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-022,Evidence Import,Import KAPE,As an analyst I import KAPE/EZ-tool CSV,"POST /cases/:id/import-kape detects EZ tool from header, maps rows to Info events",companion/src/routes/caseLifecycle.ts:92,passed,passed,workflows/importFormats.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/importFormats.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-023,Evidence Import,Import Cyber Triage,As an analyst I import Cyber Triage JSONL/CSV,"POST /cases/:id/import-cybertriage verdict-first via score, splits feed",companion/src/analysis/cybertriageImport.ts,passed,passed,workflows/importFormats.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/importFormats.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-024,Evidence Import,Import M365/Entra,As an analyst I import M365 UAL / Entra sign-in,"POST /cases/:id/import-m365 parses AuditData blob, severity from operation/riskLevel",companion/src/analysis/m365Import.ts,passed,passed,workflows/importFormats.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/importFormats.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-025,Evidence Import,Import AWS CloudTrail,As an analyst I import CloudTrail JSON/NDJSON,"POST /cases/:id/import-aws severity from eventName table, sourceIPAddress->IOC",companion/src/analysis/awsImport.ts,passed,passed,workflows/importFormats.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/importFormats.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-026,Evidence Import,Import GCP/Azure activity,As an analyst I import GCP/Azure audit logs,"POST /cases/:id/import-cloud-activity auto-detects cloud, severity from per-cloud tables",companion/src/analysis/activityLog.ts,passed,passed,workflows/importFormats.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/importFormats.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-027,Evidence Import,Import Plaso,As an analyst I import psort CSV,"POST /cases/:id/import-plaso Info events at artifact time, IOCs scraped from message",companion/src/routes/caseLifecycle.ts:92,passed,passed,workflows/importFormats.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/importFormats.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-028,Evidence Import,Import Sandbox,As an analyst I import a malware sandbox report,"POST /cases/:id/import-sandbox detects CAPEv2/Falcon, verdict+signatures->events, hashes/network->IOCs",companion/src/analysis/sandboxImport.ts,passed,passed,workflows/importFormats.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/importFormats.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-029,Evidence Import,Import Memory,As an analyst I import Volatility/Rekall JSON,POST /cases/:id/import-memory parses process tree/malfind/connections into events,companion/src/analysis/memoryImport.ts,passed,passed,workflows/importFormats.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/importFormats.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-030,Evidence Import,Import Email,As an analyst I import email evidence,POST /cases/:id/import-email maps email artifacts to events/IOCs,companion/src/analysis/emailImport.ts,passed,passed,workflows/importFormats.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/importFormats.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-031,Evidence Import,Import TheHive,As an analyst I import a TheHive case/alert,POST /cases/:id/import-thehive maps alerts/observables,companion/src/analysis/theHiveImport.ts,passed,passed,workflows/importFormats.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/importFormats.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-032,Evidence Import,Import Auditd,As an analyst I import Linux auditd logs,POST /cases/:id/import-auditd maps audit rules to events,companion/src/analysis/auditdImport.ts,passed,passed,workflows/importers.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/importers.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-033,Evidence Import,Import Journald,As an analyst I import journald logs,POST /cases/:id/import-journald maps journal entries to events,companion/src/routes/caseLifecycle.ts:92,passed,passed,workflows/importers.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/importers.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-034,Evidence Import,Import Sysdig,As an analyst I import Sysdig captures,POST /cases/:id/import-sysdig maps sysdig events,extension/src/serviceWorker.ts; extension/src/popup.ts,passed,passed,workflows/importFormats.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/importFormats.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-035,Evidence Import,Import Wazuh,As an analyst I import Wazuh alerts,POST /cases/:id/import-wazuh maps Wazuh alerts to events,companion/src/analysis/wazuhImport.ts,passed,passed,workflows/importers.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/importers.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-036,Evidence Import,Import undo/redo,As an analyst I undo a bad import,POST /cases/:id/import/undo reverts last delta; /redo reapplies; /import/undo-stack shows history,public/js/dashboard-import-undo.js,passed,passed,workflows/importers.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/importers.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-037,Evidence Import,Import file (generic),As an analyst I import a raw file for AI analysis,POST /cases/:id/import-file stores + analyzes,public/js/dashboard-mcp.js,passed,passed,workflows/importers.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/importers.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-038,Evidence Import,Evidence file access,As an analyst I view a stored evidence file,GET /cases/:id/evidence/:file streams the stored artifact,companion/src/routes/caseLifecycle.ts:92,passed,passed,workflows/importers.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/importers.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-039,Analysis,Per-window extraction,As an analyst the AI reads my screenshots and emits forensic events,"each batch -> cheap vision model -> dated forensic events into timeline (artifact time, not capture time)",public/js/dashboard-mcp.js,passed,passed,,passed,passed,"Passed full companion unit/integration suite (641 files, 9,874 tests); browser disposition documented in companion/tests/e2e/COVERAGE.md.",,,2026-08-20T18:02:57.728Z
US-040,Analysis,Synthesis,As an analyst I synthesize findings from the timeline,Manual synthesis and post-import synthesis produce grounded findings from the forensic timeline; an import schedules one effective synthesis for its completed evidence rather than one run per uploaded file.,companion/src/routes/aiSynthesis.ts; companion/src/composition/captureAnalysis.ts; companion/src/analysis/pipeline.ts,passed,passed,workflows/synthesis.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/synthesis.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-041,Analysis,Second opinion,As an analyst I get a second AI opinion on findings,POST /cases/:id/second-opinion runs a different model; GET lists; /apply and /apply-all merge,public/js/dashboard-mcp.js,passed,passed,workflows/analysisActions.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/analysisActions.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-042,Analysis,Ask the LLM,As an analyst I ask the case questions in plain English,POST /cases/:id/ask returns an answer grounded in the case state,public/js/dashboard-mcp.js,passed,passed,workflows/analysis.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/analysis.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-043,Analysis,Translate query,As an analyst I translate natural language to a query language,POST /cases/:id/translate-query returns VQL/KQL/ES|QL/SPL/Sigma/YARA/Suricata,public/js/dashboard-mcp.js,passed,passed,workflows/analysis.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/analysis.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-044,Analysis,Explain event,As an analyst I ask why an event matters,POST /cases/:id/events/:eid/explain returns rationale for the event,public/js/dashboard-explain-event.js,passed,passed,workflows/analysisActions.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/analysisActions.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-045,Analysis,Executive summary,As an analyst I generate a management-facing summary,POST /cases/:id/executive-summary -> summary saved to report; Generate button in UI,public/js/dashboard-mcp.js,passed,passed,workflows/analysis.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/analysis.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-046,Analysis,Narrative,As an analyst I generate/edit the incident narrative,POST /cases/:id/narrative generates; PUT saves edits; UI Generate/Edit/Save/Cancel,public/js/dashboard-mcp.js,passed,passed,workflows/analysis.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/analysis.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-047,Analysis,Synth meta,As an analyst I see synthesis freshness,GET /cases/:id/synth-meta shows last synthesis time + changed-since,public/js/dashboard-mcp.js,passed,passed,workflows/analysis.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/analysis.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-048,Analysis,Correlation profile,As an analyst I set correlation tuning,GET/PUT /cases/:id/correlation-profile,public/js/dashboard-correlation-profile.js,passed,passed,workflows/analysis.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/analysis.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-049,Analysis,Import meta,As an analyst I see import change tracking,GET /cases/:id/import-meta shows new/changed events since last import,public/js/dashboard-mcp.js,passed,passed,workflows/caseData.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/caseData.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-050,Analysis,Memory next steps,As an analyst I get the next Volatility command,"POST /cases/:id/memory/next-steps reads imported memory evidence, suggests next command",public/js/dashboard-mcp.js,passed,passed,workflows/analysisActions.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/analysisActions.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-051,Dashboard Panel,Forensic Timeline,As an analyst I review the forensic timeline,"events chronological with severity, sources, triage tags; severity checkboxes filter; count updates; +N new banner with diff",public/js/dashboard-settings-tools.js,passed,passed,workflows/timeline.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/timeline.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-052,Dashboard Panel,Timeline star,As an analyst I star key events,star toggle per event; Starred filter shows only starred,public/js/dashboard-starred.js,passed,passed,workflows/panelCrud.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/panelCrud.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-053,Dashboard Panel,Timeline source filter,As an analyst I filter events by tool/source,Sources menu lists distinct sources; toggling hides events from that tool,companion/src/routes/caseLifecycle.ts:1170,passed,passed,workflows/panelBrowsing.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/panelBrowsing.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-054,Dashboard Panel,Timeline add event,As an analyst I add an event manually,+ button opens add-event form; POST /cases/:id/events,companion/src/analysis/manualEntry.ts,passed,passed,workflows/panelCrud.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/panelCrud.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-055,Dashboard Panel,Kill Chain,As an analyst I view the MITRE kill chain,clickable tactics expand to their events,public/js/dashboard-kill-chain.js,passed,passed,workflows/panelBrowsing.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/panelBrowsing.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-056,Dashboard Panel,Attack Phases,As an analyst I see temporal activity bursts,"phases grouped by time gap, labelled by dominant tactic (derived)",public/js/dashboard-attack-phases.js,passed,passed,workflows/panels.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/panels.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-057,Dashboard Panel,Timeline Gaps,As an analyst I spot silent periods,gaps listed; Hypothesize button asks AI to fill gaps,public/js/dashboard-timeline-gaps.js,passed,passed,workflows/panels.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/panels.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-058,Dashboard Panel,Swimlane,As an analyst I view a swimlane chart,"Y=assets, X=time, color=severity (derived)",companion/src/routes/caseLifecycle.ts:1170,passed,passed,workflows/evidence.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/evidence.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-059,Dashboard Panel,Compromised Assets and IoC graph,As an analyst I view the asset<->IoC graph,hosts/accounts vs IOCs that touched them; + add/edit assets and links,public/js/dashboard-asset-graph.js,passed,passed,workflows/panels.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/panels.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-060,Dashboard Panel,Evidence Chain graph,As an analyst I view the causal attack graph,process trees + lateral movement + file lineage + network flows (derived),public/js/dashboard-evidence-graph.js,passed,passed,workflows/evidence.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/evidence.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-061,Dashboard Panel,Beacon Candidates,As an analyst I spot periodic beacons,periodic outbound channels listed (derived),public/js/dashboard-derived-panels.js,passed,passed,workflows/panels.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/panels.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-062,Dashboard Panel,IOCs,As an analyst I review IOCs,IOCs by kind with verdicts/enrichments; Flagged-only filter; + add IOC,companion/src/routes/caseLifecycle.ts:1170,passed,passed,workflows/panels.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/panels.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-063,Dashboard Panel,Customer Exposure,As an analyst I track customer exposure,targets list; check exposure; GET/PUT /customer-exposure,public/js/dashboard-exposure-fp.js,passed,passed,workflows/panels.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/panels.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-064,Dashboard Panel,Key Questions,As an analyst I see key investigative questions,questions from synthesis listed (read from /state.keyQuestions); POST /cases/:id/questions adds,companion/src/analysis/stateMerge.ts:306,passed,passed,workflows/panels.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/panels.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-065,Dashboard Panel,Hunting Profile,As an analyst I see what has been hunted,hunt outcomes per source; per-card Regenerate; Collect-now,public/js/dashboard-hunt-profile.js,passed,passed,workflows/panels.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/panels.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-066,Dashboard Panel,Investigation Threads,As an analyst I track open/closed threads,open and closed threads listed,companion/src/routes/caseLifecycle.ts:1170,passed,passed,workflows/panelCrud.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/panelCrud.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-067,Dashboard Panel,MITRE ATT&CK,As an analyst I see the MITRE technique map,"techniques detected, mapped to events/findings",companion/src/analysis/attack.ts,passed,passed,workflows/panels.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/panels.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-068,Dashboard Panel,Adversary Hints,As an analyst I see candidate threat groups,ATT&CK groups by technique overlap + likely next techniques (derived),public/js/dashboard-adversary-hints.js,passed,passed,workflows/panels.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/panels.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
